 n_tokens_title, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity
12.0,0.5,-0.1875,0.0,0.1875
9.0,0.0,0.0,0.5,0.0
9.0,0.0,0.0,0.5,0.0
9.0,0.0,0.0,0.5,0.0
13.0,0.454545454545,0.136363636364,0.0454545454545,0.136363636364
10.0,0.642857142857,0.214285714286,0.142857142857,0.214285714286
8.0,0.0,0.0,0.5,0.0
12.0,1.0,0.5,0.5,0.5
11.0,0.125,0.0,0.375,0.0
10.0,0.0,0.0,0.5,0.0
9.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
9.0,1.0,-1.0,0.5,1.0
9.0,1.0,-1.0,0.5,1.0
8.0,0.75,0.55,0.25,0.55
12.0,0.75,-0.25,0.25,0.25
8.0,0.566666666667,-0.1,0.0666666666667,0.1
8.0,0.0,0.0,0.5,0.0
11.0,0.857142857143,-0.714285714286,0.357142857143,0.714285714286
8.0,0.5,0.0,0.0,0.0
13.0,0.0,0.0,0.5,0.0
9.0,0.0,0.0,0.5,0.0
11.0,0.0,0.0,0.5,0.0
11.0,0.45,0.4,0.05,0.4
13.0,0.7,-0.4,0.2,0.4
8.0,0.9,0.4,0.4,0.4
8.0,0.0,0.0,0.5,0.0
12.0,0.5,0.5,0.0,0.5
10.0,0.0,0.0,0.5,0.0
11.0,0.5,0.5,0.0,0.5
8.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
14.0,0.0,0.0,0.5,0.0
10.0,1.0,1.0,0.5,1.0
8.0,0.0,0.0,0.5,0.0
11.0,0.55,0.35,0.05,0.35
10.0,1.0,-0.6,0.5,0.6
8.0,0.666666666667,-0.5,0.166666666667,0.5
11.0,0.0,0.0,0.5,0.0
14.0,0.4,0.1,0.1,0.1
10.0,0.0,0.0,0.5,0.0
6.0,0.0,0.0,0.5,0.0
14.0,0.0,0.0,0.5,0.0
10.0,0.7,-0.05,0.2,0.05
9.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
12.0,0.583333333333,0.25,0.0833333333333,0.25
11.0,0.0,0.0,0.5,0.0
11.0,0.0,0.0,0.5,0.0
11.0,0.85,-0.4,0.35,0.4
9.0,0.642857142857,0.214285714286,0.142857142857,0.214285714286
9.0,0.0,0.0,0.5,0.0
11.0,0.427272727273,0.168181818182,0.0727272727273,0.168181818182
9.0,0.333333333333,0.25,0.166666666667,0.25
10.0,0.5,-0.1,0.0,0.1
9.0,0.65,-0.5,0.15,0.5
8.0,0.25,0.2,0.25,0.2
12.0,0.454545454545,0.136363636364,0.0454545454545,0.136363636364
9.0,0.5,0.136363636364,0.0,0.136363636364
13.0,0.0,0.0,0.5,0.0
12.0,0.0,0.0,0.5,0.0
9.0,0.333333333333,0.25,0.166666666667,0.25
12.0,0.0666666666667,0.0333333333333,0.433333333333,0.0333333333333
11.0,0.0,0.0,0.5,0.0
8.0,0.75,-0.125,0.25,0.125
7.0,0.375,-0.0625,0.125,0.0625
11.0,0.483333333333,0.416666666667,0.0166666666667,0.416666666667
12.0,0.5,0.5,0.0,0.5
6.0,0.0,0.0,0.5,0.0
11.0,0.0,0.0,0.5,0.0
13.0,0.0,0.0,0.5,0.0
9.0,0.0,0.0,0.5,0.0
8.0,0.5,0.5,0.0,0.5
12.0,0.454545454545,0.136363636364,0.0454545454545,0.136363636364
6.0,0.0,0.0,0.5,0.0
5.0,0.454545454545,0.136363636364,0.0454545454545,0.136363636364
9.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
12.0,0.0,0.0,0.5,0.0
10.0,0.3,0.2,0.2,0.2
11.0,0.0,0.0,0.5,0.0
11.0,0.0,0.0,0.5,0.0
12.0,0.3,0.0,0.2,0.0
9.0,0.0,0.0,0.5,0.0
7.0,0.0,0.0,0.5,0.0
10.0,0.1,-0.1,0.4,0.1
13.0,0.666666666667,0.333333333333,0.166666666667,0.333333333333
10.0,0.4,0.1,0.1,0.1
12.0,0.8,0.4,0.3,0.4
12.0,0.3,0.1,0.2,0.1
10.0,0.0666666666667,0.0333333333333,0.433333333333,0.0333333333333
9.0,0.0,0.0,0.5,0.0
9.0,0.0,0.0,0.5,0.0
13.0,0.0,0.0,0.5,0.0
6.0,0.0,0.0,0.5,0.0
9.0,1.0,-1.0,0.5,1.0
10.0,0.2,-0.1,0.3,0.1
7.0,0.0,0.0,0.5,0.0
7.0,0.1,0.0,0.4,0.0
9.0,0.54375,-0.25625,0.04375,0.25625
9.0,0.5,0.25,0.0,0.25
9.0,0.0,0.0,0.5,0.0
6.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
12.0,0.0,0.0,0.5,0.0
12.0,0.1,0.2,0.4,0.2
11.0,0.0,0.0,0.5,0.0
11.0,0.0,0.0,0.5,0.0
7.0,0.0,0.0,0.5,0.0
13.0,0.0,0.0,0.5,0.0
9.0,0.0,0.0,0.5,0.0
9.0,0.95,0.65,0.45,0.65
11.0,1.0,0.5,0.5,0.5
11.0,0.3125,0.2375,0.1875,0.2375
7.0,0.0,0.0,0.5,0.0
10.0,0.333333333333,0.25,0.166666666667,0.25
7.0,0.454545454545,0.136363636364,0.0454545454545,0.136363636364
9.0,0.288888888889,0.177777777778,0.211111111111,0.177777777778
9.0,0.0,0.0,0.5,0.0
11.0,0.0,0.0,0.5,0.0
11.0,0.4,0.1,0.1,0.1
13.0,0.0,0.0,0.5,0.0
6.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
9.0,0.428571428571,0.214285714286,0.0714285714286,0.214285714286
8.0,0.9,-0.6,0.4,0.6
7.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
10.0,0.6,0.5,0.1,0.5
14.0,0.0666666666667,0.0333333333333,0.433333333333,0.0333333333333
9.0,0.0,0.0,0.5,0.0
11.0,0.642857142857,0.214285714286,0.142857142857,0.214285714286
9.0,0.0,0.0,0.5,0.0
8.0,0.9,0.175,0.4,0.175
10.0,0.0,0.0,0.5,0.0
13.0,0.9,0.6,0.4,0.6
13.0,0.7,0.633333333333,0.2,0.633333333333
12.0,0.7,-0.4,0.2,0.4
10.0,0.0,0.0,0.5,0.0
12.0,0.0,0.0,0.5,0.0
10.0,0.0666666666667,0.0333333333333,0.433333333333,0.0333333333333
6.0,0.0,0.0,0.5,0.0
10.0,0.5,0.136363636364,0.0,0.136363636364
8.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
11.0,0.0,0.0,0.5,0.0
8.0,0.3,1.0,0.2,1.0
11.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
7.0,0.0,0.0,0.5,0.0
12.0,0.4,-0.4,0.1,0.4
7.0,0.0,0.0,0.5,0.0
10.0,0.454545454545,0.136363636364,0.0454545454545,0.136363636364
9.0,0.0,0.0,0.5,0.0
11.0,0.0,0.0,0.5,0.0
11.0,0.833333333333,0.666666666667,0.333333333333,0.666666666667
10.0,0.0,0.0,0.5,0.0
10.0,0.1,-0.3,0.4,0.3
8.0,0.0,0.0,0.5,0.0
9.0,0.333333333333,0.25,0.166666666667,0.25
8.0,0.0,0.0,0.5,0.0
11.0,0.9,-0.6,0.4,0.6
12.0,1.0,0.3,0.5,0.3
10.0,1.0,0.5,0.5,0.5
12.0,0.0,0.0,0.5,0.0
9.0,0.0,0.0,0.5,0.0
8.0,0.0,0.0,0.5,0.0
9.0,0.0,0.0,0.5,0.0
8.0,0.0,0.0,0.5,0.0
8.0,0.9,-0.8,0.4,0.8
12.0,0.571428571429,0.357142857143,0.0714285714286,0.357142857143
12.0,0.5,0.5,0.0,0.5
11.0,0.507070707071,0.089898989899,0.00707070707071,0.089898989899
11.0,0.0,0.0,0.5,0.0
11.0,0.0,0.0,0.5,0.0
14.0,1.0,0.25,0.5,0.25
11.0,0.488095238095,0.232142857143,0.0119047619048,0.232142857143
8.0,0.0,0.0,0.5,0.0
12.0,0.383333333333,-0.35,0.116666666667,0.35
7.0,0.0,0.0,0.5,0.0
9.0,0.0,0.0,0.5,0.0
13.0,0.8,0.4,0.3,0.4
15.0,0.4,0.2,0.1,0.2
12.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
7.0,0.0,0.0,0.5,0.0
7.0,0.454545454545,0.136363636364,0.0454545454545,0.136363636364
9.0,0.5,0.5,0.0,0.5
10.0,0.0,0.0,0.5,0.0
12.0,0.5,0.0625,0.0,0.0625
11.0,0.9,-0.5,0.4,0.5
6.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
11.0,0.0,0.0,0.5,0.0
12.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
11.0,0.2,-0.1,0.3,0.1
13.0,0.6,0.5,0.1,0.5
7.0,0.0,0.0,0.5,0.0
8.0,0.454545454545,0.136363636364,0.0454545454545,0.136363636364
14.0,0.0,0.0,0.5,0.0
9.0,0.0,0.0,0.5,0.0
9.0,0.283333333333,0.266666666667,0.216666666667,0.266666666667
10.0,0.0,0.0,0.5,0.0
13.0,0.2,-0.15,0.3,0.15
8.0,0.454545454545,0.136363636364,0.0454545454545,0.136363636364
6.0,0.0,0.0,0.5,0.0
8.0,0.0,0.0,0.5,0.0
10.0,1.0,0.0,0.5,0.0
9.0,0.833333333333,0.433333333333,0.333333333333,0.433333333333
10.0,0.0,0.0,0.5,0.0
7.0,0.0,0.0,0.5,0.0
11.0,0.0,0.0,0.5,0.0
13.0,0.3125,0.0,0.1875,0.0
9.0,0.0,-0.0333333333333,0.5,0.0333333333333
11.0,0.0,0.0,0.5,0.0
8.0,0.0,0.0,0.5,0.0
13.0,0.0,0.0,0.5,0.0
9.0,0.1,0.0,0.4,0.0
12.0,0.0,0.0,0.5,0.0
8.0,0.0,0.0,0.5,0.0
8.0,0.0,0.1,0.5,0.1
10.0,0.7,0.4,0.2,0.4
11.0,0.5,0.136363636364,0.0,0.136363636364
8.0,1.0,0.5,0.5,0.5
11.0,0.0,0.0,0.5,0.0
8.0,0.2,-0.15,0.3,0.15
8.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
10.0,0.0,0.0,0.5,0.0
10.0,1.0,0.5,0.5,0.5
8.0,0.0,0.0,0.5,0.0
7.0,0.0,0.0,0.5,0.0
