 n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, average_token_length
219.0,0.663594466988,0.999999992308,0.815384609112,4.6803652968
255.0,0.604743080614,0.999999993289,0.79194630341,4.9137254902
211.0,0.575129530699,0.999999991597,0.66386554064,4.39336492891
531.0,0.503787877834,0.999999996904,0.665634672862,4.40489642185
1072.0,0.41564561695,0.999999998565,0.540889525766,4.6828358209
370.0,0.559888577828,0.999999995495,0.698198195053,4.35945945946
960.0,0.418162618355,0.999999998339,0.54983388613,4.65416666667
989.0,0.433573634981,0.999999998415,0.572107764545,4.61779575329
97.0,0.670103085875,0.999999979592,0.836734676801,4.85567010309
231.0,0.636363633609,0.999999992754,0.797101443499,5.09090909091
1248.0,0.490049750837,0.999999998588,0.731638417046,4.61778846154
187.0,0.666666663082,0.999999991304,0.799999993043,4.6577540107
274.0,0.609195399965,0.999999994152,0.707602335043,4.23357664234
285.0,0.744186043627,0.999999994536,0.841530050046,4.34385964912
259.0,0.562753034159,0.999999994444,0.644444440864,5.02316602317
682.0,0.459541984031,0.999999997429,0.634961437956,4.62023460411
1118.0,0.512396693744,0.999999998563,0.709770113923,4.70393559928
397.0,0.624678661633,0.999999995951,0.805668012933,5.44584382872
103.0,0.689320381657,0.999999983871,0.806451599896,4.84466019417
1207.0,0.410579344743,0.999999998711,0.548969071458,4.71665285833
1248.0,0.390637610661,0.999999998736,0.523388115647,4.68669871795
391.0,0.510256408948,0.999999995833,0.649999997292,5.29667519182
1154.0,0.42730496416,0.999999998613,0.572815533186,4.62998266898
125.0,0.674796742481,0.999999987342,0.797468344336,4.824
244.0,0.559999997511,0.999999993197,0.680272104216,4.42213114754
266.0,0.572580642852,0.999999993197,0.721088430469,4.25939849624
331.0,0.562691129778,0.999999994898,0.724489792222,4.78247734139
1225.0,0.385451504694,0.999999998689,0.508519003265,4.63591836735
243.0,0.619246859334,0.999999992366,0.824427474623,4.38271604938
723.0,0.490934448409,0.999999997845,0.642241377926,5.22821576763
708.0,0.48221906048,0.999999997525,0.688118810178,4.62005649718
633.0,0.476038337898,0.999999997625,0.579572445179,4.98578199052
290.0,0.611510789167,0.999999994048,0.76190475737,4.06896551724
597.0,0.531732417613,0.99999999726,0.704109587112,4.34338358459
204.0,0.586206893664,0.999999992063,0.69841269287,4.67156862745
315.0,0.551282049515,0.999999994382,0.702247187066,4.38095238095
1244.0,0.417546709653,0.999999998736,0.562579013195,4.75241157556
257.0,0.568093383004,0.999999993548,0.670967737607,4.63813229572
799.0,0.504391467372,0.999999997722,0.738041000597,4.6958698373
194.0,0.764705878264,0.999999991597,0.840336127392,4.5206185567
1036.0,0.429549901732,0.99999999851,0.560357674277,4.7277992278
174.0,0.691860461094,0.999999990291,0.902912612593,4.79885057471
1237.0,0.423770491456,0.999999998744,0.570351758077,4.70331447049
1081.0,0.428037382778,0.999999998555,0.560693640808,4.65217391304
1022.0,0.427427427,0.999999998485,0.549999999167,4.74657534247
142.0,0.654676254283,0.999999987013,0.792207781919,4.27464788732
1190.0,0.408703071324,0.999999998634,0.561475409069,4.62016806723
161.0,0.668831164488,0.999999990476,0.752380945215,4.45341614907
1108.0,0.408592321382,0.999999998582,0.53758865172,4.65433212996
1089.0,0.418691588394,0.999999998555,0.553468207293,4.69421487603
214.0,0.644549759978,0.999999992248,0.751937978667,4.65420560748
944.0,0.433011789461,0.999999998355,0.565789472754,4.70656779661
1030.0,0.422244094073,0.999999998462,0.563076922211,4.70097087379
454.0,0.566079293907,0.99999999639,0.754512632655,4.88546255507
1115.0,0.424131626669,0.999999998582,0.564539006291,4.63139013453
555.0,0.535390198665,0.999999997059,0.708823527327,5.14774774775
474.0,0.608602149229,0.999999996403,0.802158270496,4.75949367089
130.0,0.821705419987,0.999999987013,0.922077910103,4.54615384615
444.0,0.600917429814,0.999999996599,0.755102038248,4.81081081081
280.0,0.576642333662,0.999999994475,0.685082869143,4.4
1024.0,0.428007889124,0.99999999848,0.557750759031,4.7783203125
238.0,0.621276593101,0.999999992308,0.823076916746,4.25630252101
1070.0,0.42155009412,0.999999998557,0.551226550431,4.65514018692
463.0,0.504347824991,0.999999996491,0.631578945152,4.36285097192
1005.0,0.431726907197,0.999999998466,0.556748465404,4.65572139303
403.0,0.516042779369,0.999999995798,0.617647056228,4.08188585608
251.0,0.615702476795,0.999999993902,0.713414629796,4.80876494024
317.0,0.611464966206,0.999999995169,0.72946859551,5.23974763407
177.0,0.741379306084,0.999999991935,0.822580638528,5.05649717514
109.0,0.666666659933,0.999999982456,0.736842092336,4.73394495413
399.0,0.597989948246,0.99999999569,0.806034479284,4.57894736842
460.0,0.499999998884,0.999999996183,0.675572516505,4.46086956522
443.0,0.467120180347,0.999999996226,0.588679243062,5.01354401806
218.0,0.662983421751,0.999999992,0.687999994496,4.43577981651
988.0,0.427983538654,0.999999998442,0.546728971111,4.6963562753
374.0,0.640540538809,0.999999995475,0.828054294896,4.90909090909
356.0,0.618233616472,0.999999995671,0.766233762917,4.47191011236
1226.0,0.410172272018,0.999999998538,0.616959063425,4.39396411093
1121.0,0.450678732624,0.999999998512,0.629464284778,4.79036574487
288.0,0.589473682142,0.999999994048,0.726190471868,4.38194444444
414.0,0.606796115032,0.999999996094,0.777343746964,4.9806763285
134.0,0.702290070975,0.999999988095,0.785714276361,4.4776119403
281.0,0.610714283533,0.999999994012,0.766467061279,4.60854092527
499.0,0.513026051076,0.999999996689,0.662251653436,5.08416833667
268.0,0.477272725465,0.999999993939,0.587878784316,4.85820895522
925.0,0.427947597786,0.999999998325,0.549413734423,4.67351351351
261.0,0.548262546146,0.999999994819,0.595854919192,4.85057471264
